XBAR.I0:AE X,XBAR.I0:AE Y,r0 X,r0 Y,XBAR.I0:OE X,XBAR.I0:OE Y
1.69517659146925e-11,-0.0005125536779167319,1.69517659146925e-11,-1.398237016344872,1.69517659146925e-11,0.0005125536779167319
1.697102367338228e-11,-0.0005208771410475675,1.697102367338228e-11,-1.398235013537968,1.697102367338228e-11,0.0005208771410475675
1.699869017945428e-11,-0.0005309771475860873,1.699869017945428e-11,-1.398232136221337,1.699869017945428e-11,0.0005309771475860873
1.700691613308613e-11,-0.0005447719767636532,1.700691613308613e-11,-1.398231280722159,1.700691613308613e-11,0.0005447719767636532
1.702336804034984e-11,-0.0005508902776152647,1.702336804034984e-11,-1.398229569723804,1.702336804034984e-11,0.0005508902776152647
1.705146411753167e-11,-0.0005576776791901304,1.705146411753167e-11,-1.398226647731777,1.705146411753167e-11,0.0005576776791901304
1.708058627193262e-11,-0.0005686886777287708,1.708058627193262e-11,-1.398223619027719,1.708058627193262e-11,0.0005686886777287708
1.709388299141008e-11,-0.0005801057925128694,1.709388299141008e-11,-1.398222236168893,1.709388299141008e-11,0.0005801057925128694
1.711905667916547e-11,-0.0005861923638642382,1.711905667916547e-11,-1.398219618105367,1.711905667916547e-11,0.0005861923638642382
1.715245324213772e-11,-0.000593757773980441,1.715245324213772e-11,-1.398216144862818,1.715245324213772e-11,0.000593757773980441
1.719719913938869e-11,-0.0006035343936066206,1.719719913938869e-11,-1.398211491289503,1.719719913938869e-11,0.0006035343936066206
1.721859921428168e-11,-0.0006153668268097197,1.721859921428168e-11,-1.398209265681715,1.721859921428168e-11,0.0006153668268097197
1.725350632686605e-11,-0.0006219827330059705,1.725350632686605e-11,-1.398205635342006,1.725350632686605e-11,0.0006219827330059705
1.730320307968133e-11,-0.0006292890681900673,1.730320307968133e-11,-1.398200466879713,1.730320307968133e-11,0.0006292890681900673
1.731698021477104e-11,-0.0006388192828086891,1.731698021477104e-11,-1.398199034057664,1.731698021477104e-11,0.0006388192828086891
1.734453448495046e-11,-0.0006428720460556301,1.734453448495046e-11,-1.398196168413565,1.734453448495046e-11,0.0006428720460556301
1.739305127417919e-11,-0.0006471105036663353,1.739305127417919e-11,-1.398191122667485,1.739305127417919e-11,0.0006471105036663353
1.744323444018533e-11,-0.0006541381064213197,1.744323444018533e-11,-1.398185903618221,1.744323444018533e-11,0.0006541381064213197
1.746832602318839e-11,-0.0006613296495464271,1.746832602318839e-11,-1.398183294093588,1.746832602318839e-11,0.0006613296495464271
1.751767315236033e-11,-0.0006653279763592068,1.751767315236033e-11,-1.398178161992155,1.751767315236033e-11,0.0006653279763592068
1.757957864489336e-11,-0.0006706846057808945,1.757957864489336e-11,-1.398171723820931,1.757957864489336e-11,0.0006706846057808945
1.767147253337021e-11,-0.0006771747843304992,1.767147253337021e-11,-1.398162166856529,1.767147253337021e-11,0.0006771747843304992
1.770453846847384e-11,-0.0006854614531507433,1.770453846847384e-11,-1.398158727999279,1.770453846847384e-11,0.0006854614531507433
1.776265789741254e-11,-0.0006893809506629945,1.776265789741254e-11,-1.398152683578669,1.776265789741254e-11,0.0006893809506629945
1.785317820037204e-11,-0.0006934569744376036,1.785317820037204e-11,-1.398143269467161,1.785317820037204e-11,0.0006934569744376036
1.787633501440958e-11,-0.0006992973088530054,1.787633501440958e-11,-1.398140861158501,1.787633501440958e-11,0.0006992973088530054
1.792264864248465e-11,-0.0007016039078933357,1.792264864248465e-11,-1.398136044541181,1.792264864248465e-11,0.0007016039078933357
1.80152758986348e-11,-0.0007040289502152123,1.80152758986348e-11,-1.398126411306542,1.80152758986348e-11,0.0007040289502152123
1.810821778957602e-11,-0.0007085562854571883,1.810821778957602e-11,-1.398116745349884,1.810821778957602e-11,0.0007085562854571883
1.815332151490694e-11,-0.0007131024972228961,1.815332151490694e-11,-1.39811205456245,1.815332151490694e-11,0.0007131024972228961
1.824352896556879e-11,-0.0007154995288089028,1.824352896556879e-11,-1.398102672987581,1.824352896556879e-11,0.0007154995288089028
1.836233362779433e-11,-0.0007188273594146242,1.836233362779433e-11,-1.398090317302709,1.836233362779433e-11,0.0007188273594146242
1.853415386758348e-11,-0.0007230118091894337,1.853415386758348e-11,-1.398072447997771,1.853415386758348e-11,0.0007230118091894337
1.860276946920527e-11,-0.00072831496835887,1.860276946920527e-11,-1.398065311975203,1.860276946920527e-11,0.00072831496835887
1.872529470802139e-11,-0.0007308480727207347,1.872529470802139e-11,-1.398052569350366,1.872529470802139e-11,0.0007308480727207347
1.890545178581917e-11,-0.0007337633916939959,1.890545178581917e-11,-1.398033833014275,1.890545178581917e-11,0.0007337633916939959
1.895514731362861e-11,-0.0007377376424955089,1.895514731362861e-11,-1.398028664679382,1.895514731362861e-11,0.0007377376424955089
1.905453836924751e-11,-0.0007392683358367274,1.905453836924751e-11,-1.398018328009598,1.905453836924751e-11,0.0007392683358367274
1.924462454677512e-11,-0.0007410306062359447,1.924462454677512e-11,-1.397998559047135,1.924462454677512e-11,0.0007410306062359447
1.944194512857582e-11,-0.0007441423614070876,1.944194512857582e-11,-1.397978037706628,1.944194512857582e-11,0.0007441423614070876
1.954060541947618e-11,-0.0007473110694427204,1.954060541947618e-11,-1.397967777036374,1.954060541947618e-11,0.0007473110694427204
1.973792600127689e-11,-0.0007489809260530373,1.973792600127689e-11,-1.397947255695867,1.973792600127689e-11,0.0007489809260530373
1.999194287009296e-11,-0.0007513867855428599,1.999194287009296e-11,-1.39792083794151,1.999194287009296e-11,0.0007513867855428599
2.036618990745275e-11,-0.0007543180908222584,2.036618990745275e-11,-1.397881916249625,2.036618990745275e-11,0.0007543180908222584
2.050623754121518e-11,-0.0007580847994443187,2.050623754121518e-11,-1.397867351295714,2.050623754121518e-11,0.0007580847994443187
2.076098895338935e-11,-0.0007597398306404739,2.076098895338935e-11,-1.397840857148847,2.076098895338935e-11,0.0007597398306404739
2.114056783403552e-11,-0.0007617171431452491,2.114056783403552e-11,-1.39780138094526,2.114056783403552e-11,0.0007617171431452491
2.12443945708965e-11,-0.0007644300624395362,2.12443945708965e-11,-1.397790582964627,2.12443945708965e-11,0.0007644300624395362
2.145204804461845e-11,-0.0007654220840513907,2.145204804461845e-11,-1.39776898700336,2.145204804461845e-11,0.0007654220840513907
2.185979996461544e-11,-0.000766609528675509,2.185979996461544e-11,-1.39772658080368,2.185979996461544e-11,0.000766609528675509
2.228270690649277e-11,-0.0007688033646793579,2.228270690649277e-11,-1.397682598481725,2.228270690649277e-11,0.0007688033646793579
2.249416037743143e-11,-0.0007710040726755288,2.249416037743143e-11,-1.397660607320747,2.249416037743143e-11,0.0007710040726755288
2.291706731930876e-11,-0.0007721561362368678,2.291706731930876e-11,-1.397616624998792,2.291706731930876e-11,0.0007721561362368678
2.34682926161705e-11,-0.0007738274316705979,2.34682926161705e-11,-1.397559297567918,2.34682926161705e-11,0.0007738274316705979
2.4271155487344e-11,-0.0007759061547148808,2.4271155487344e-11,-1.397475799829316,2.4271155487344e-11,0.0007759061547148808
2.552761949777989e-11,-0.0007785217451871038,2.552761949777989e-11,-1.397345127572231,2.552761949777989e-11,0.0007785217451871038
2.588685832922828e-11,-0.0007820540769962434,2.588685832922828e-11,-1.39730776673376,2.588685832922828e-11,0.0007820540769962434
2.64805846223093e-11,-0.0007832407869334385,2.64805846223093e-11,-1.39724601919928,2.64805846223093e-11,0.0007832407869334385
2.750392176183296e-11,-0.0007844263510456775,2.750392176183296e-11,-1.397139592136769,2.750392176183296e-11,0.0007844263510456775
2.772979978943798e-11,-0.0007863220802072644,2.772979978943798e-11,-1.397116100821898,2.772979978943798e-11,0.0007863220802072644
2.818155584464803e-11,-0.0007868865388263613,2.818155584464803e-11,-1.397069118192157,2.818155584464803e-11,0.0007868865388263613
2.908506795506813e-11,-0.0007875511422725901,2.908506795506813e-11,-1.396975152932673,2.908506795506813e-11,0.0007875511422725901
2.933006458602396e-11,-0.0007888524886313107,2.933006458602396e-11,-1.396949673283054,2.933006458602396e-11,0.0007888524886313107
